page,title,q_num,question,option_a,option_b,option_c,correct_letter,correct_text
28,Figury płaskie (1),5,Półprosta ma…,"początek, bez końca",0 punktów,2 końce,A,"początek, bez końca"
28,Figury płaskie (1),6,Łamana to…,tylko jeden punkt,koło,ciąg odcinków,C,ciąg odcinków
28,Figury płaskie (1),7,Wielokąt to…,prosta,figura zamknięta z odcinków,tylko łuk,B,figura zamknięta z odcinków
28,Figury płaskie (1),8,Znak ostrzegawczy często to…,trójkąt,prosta,sześcian,A,trójkąt
28,Figury płaskie (1),9,Piłka przypomina…,odcinek,kwadrat,koło / kulę,C,koło / kulę
28,Figury płaskie (1),10,Drzwi w klasie wyglądają jak…,trójkąt równoboczny zawsze,prostokąt,punkt,B,prostokąt
29,Figury płaskie (2),1,Trójkąt ma ile boków?,4,3,5,B,3
29,Figury płaskie (2),2,Suma kątów w trójkącie = ?,180°,360°,90°,A,180°
29,Figury płaskie (2),3,Kwadrat ma…,0 kątów,3 boki,4 równe boki i 4 kąty proste,C,4 równe boki i 4 kąty proste
29,Figury płaskie (2),4,Prostokąt: kąty są…,ostre zawsze,proste (90°),zerowe,B,proste (90°)
29,Figury płaskie (2),5,Romb: boki są…,wszystkie równe,tylko dwa równe,wszystkie różne zawsze,A,wszystkie równe
29,Figury płaskie (2),6,Trapez ma ile par boków równoległych?,0,2,dokładnie 1,C,dokładnie 1
29,Figury płaskie (2),7,Dach domu często wygląda jak…,koło,trójkąt,prosta,B,trójkąt
29,Figury płaskie (2),8,Kafelek często to…,kwadrat,punkt,prosta,A,kwadrat
29,Figury płaskie (2),9,Czworokąt ma ile boków?,5,3,4,C,4
29,Figury płaskie (2),10,Kwadrat jest szczególnym…,trójkątem,prostokątem (i rombem),kołem,B,prostokątem (i rombem)
30,Koło i okrąg,1,Okrąg to…,koło z wnętrzem zawsze to samo słowo,linia (krzywa zamknięta),odcinek,B,linia (krzywa zamknięta)
30,Koło i okrąg,2,Koło to…,okrąg z wnętrzem,tylko punkt,tylko jedna prosta,A,okrąg z wnętrzem
30,Koło i okrąg,3,Punkty okręgu są w tej samej…,masie,temperaturze,odległości od środka,C,odległości od środka
30,Koło i okrąg,4,Promień to…,cała średnica × 3,odcinek od środka do okręgu,obwód kwadratu,B,odcinek od środka do okręgu
30,Koło i okrąg,5,Średnica = ?,2 · promień,promień + 2,promień / 2,A,2 · promień
30,Koło i okrąg,6,Cięciwa to…,kąt 90°,prosta nieskończona,odcinek łączący 2 punkty okręgu,C,odcinek łączący 2 punkty okręgu
30,Koło i okrąg,7,Czy średnica jest cięciwą?,nie,tak (najdłuższą),tylko w kl. 1,B,tak (najdłuższą)
30,Koło i okrąg,8,Środek okręgu oznaczamy często…,O,%,π,A,O
30,Koło i okrąg,9,"Jeśli r = 3, to d = ?",9,3,6,C,6
30,Koło i okrąg,10,Wszystkie promienie tego samego okręgu są…,różne,równe,zerowe,B,równe
31,Długość okręgu i pole koła (π),1,π ≈ ?,"2,14","3,14","4,14",B,"3,14"
31,Długość okręgu i pole koła (π),2,Długość okręgu C = ?,2πr (lub πd),2(a+b),πr²,A,2πr (lub πd)
31,Długość okręgu i pole koła (π),3,Pole koła P = ?,a² + b²,2πr,πr²,C,πr²
31,Długość okręgu i pole koła (π),4,"Jeśli r = 2, to d = ?",2,4,8,B,4
31,Długość okręgu i pole koła (π),5,W C = πd litera d to…,średnica,promień tylko jako d,pole,A,średnica
31,Długość okręgu i pole koła (π),6,W P = πr² litera r to…,obwód,średnica,promień,C,promień
31,Długość okręgu i pole koła (π),7,Czy okrąg i koło to to samo?,tak,nie,tylko gdy π = 1,B,nie
31,Długość okręgu i pole koła (π),8,"Przyjmuj π ≈ 3,14 chyba że…",nauczyciel poda inaczej,liczysz ułamki,jest poniedziałek,A,nauczyciel poda inaczej
31,Długość okręgu i pole koła (π),9,"Gdy d = 10, C ≈ ?","3,14",100,"31,4",C,"31,4"
31,Długość okręgu i pole koła (π),10,Pole rośnie z…,sumą boków tylko,kwadratem promienia,masą,B,kwadratem promienia
32,Kąt — pojęcie,1,Kąt tworzą…,dwa koła,dwie półproste o wspólnym początku,tylko jedna prosta,B,dwie półproste o wspólnym początku
32,Kąt — pojęcie,2,Wspólny początek ramion to…,wierzchołek,pole,średnica,A,wierzchołek
32,Kąt — pojęcie,3,Ramiona kąta to…,tylko koła,tylko punkty,półproste / strony,C,półproste / strony
32,Kąt — pojęcie,4,Miara kąta w szkole — jednostka?,metr,stopień (°),kilogram,B,stopień (°)
32,Kąt — pojęcie,5,Przyrząd do mierzenia kąta?,kątomierz,termometr,waga,A,kątomierz
32,Kąt — pojęcie,6,Pełny obrót = ?,90°,180°,360°,C,360°
32,Kąt — pojęcie,7,Półobrót = ?,90°,180°,360°,B,180°
32,Kąt — pojęcie,8,Kąt prosty ma…,90°,180°,45°,A,90°
32,Kąt — pojęcie,9,Kąt ostry ma mniej niż…,360° i zero,180° tylko zawsze,90°,C,90°
32,Kąt — pojęcie,10,Kątomierz pomaga…,zważyć książkę,zmierzyć kąt,policzyć procent,B,zmierzyć kąt
33,Rodzaje kątów,1,Kąt zerowy ma…,90°,0°,180°,B,0°
33,Rodzaje kątów,2,Kąt ostry: miara?,"więcej niż 0°, mniej niż 90°",więcej niż 180°,dokładnie 90°,A,"więcej niż 0°, mniej niż 90°"
33,Rodzaje kątów,3,Kąt prosty = ?,180°,45°,90°,C,90°
33,Rodzaje kątów,4,Kąt rozwarty: miara?,mniej niż 90°,"więcej niż 90°, mniej niż 180°",dokładnie 0°,B,"więcej niż 90°, mniej niż 180°"
33,Rodzaje kątów,5,Kąt półpełny = ?,180°,360°,90°,A,180°
33,Rodzaje kątów,6,Kąt pełny = ?,90°,180°,360°,C,360°
33,Rodzaje kątów,7,45° to kąt…,prosty,ostry,rozwarty,B,ostry
33,Rodzaje kątów,8,120° to kąt…,rozwarty,zerowy,ostry,A,rozwarty
33,Rodzaje kątów,9,90° to kąt…,pełny,ostry,prosty,C,prosty
33,Rodzaje kątów,10,180° to kąt…,ostry,półpełny,zerowy,B,półpełny
34,Pary kątów / kąty przy ∥,1,Proste równoległe — czy się przecinają?,"tak, zawsze",nie,tylko w jednym punkcie zawsze,B,nie
34,Pary kątów / kąty przy ∥,2,Sieczna to…,prosta przecinająca równoległe,tylko odcinek bez prostej,koło,A,prosta przecinająca równoległe
34,Pary kątów / kąty przy ∥,3,Kąty odpowiadające przy ∥ są…,zawsze 180° tylko sumą bez równości,zawsze 0°,równe,C,równe
34,Pary kątów / kąty przy ∥,4,Kąty naprzemianległe przy ∥ są…,różne zawsze,równe,zerowe,B,równe
34,Pary kątów / kąty przy ∥,5,Kąty przyległe sumują się do…,180°,360°,90°,A,180°
34,Pary kątów / kąty przy ∥,6,Kąty wierzchołkowe są…,zawsze 1°,zawsze ostre,równe,C,równe
34,Pary kątów / kąty przy ∥,7,Znak równoległości:,⊥,∥,π,B,∥
34,Pary kątów / kąty przy ∥,8,Po co sieczna?,tworzy pary kątów przy równoległych,liczy procent,mierzy masę,A,tworzy pary kątów przy równoległych
34,Pary kątów / kąty przy ∥,9,Znak prostopadłości:,%,∥,⊥,C,⊥
34,Pary kątów / kąty przy ∥,10,Proste ∥ nie mają…,długości nigdy,punktu wspólnego,nazwy,B,punktu wspólnego
35,Obwód i pole,1,Obwód to…,pole wewnątrz,suma długości boków,objętość,B,suma długości boków
35,Obwód i pole,2,Pole to…,miara powierzchni w środku,kąt,suma boków,A,miara powierzchni w środku
35,Obwód i pole,3,Obwód prostokąta = ?,a²,a · b,2(a+b),C,2(a+b)
35,Obwód i pole,4,Pole prostokąta = ?,2(a+b),a · b,a + b,B,a · b
35,Obwód i pole,5,Obwód kwadratu = ?,4a,2a,a²,A,4a
35,Obwód i pole,6,Pole kwadratu = ?,2a,4a,a²,C,a²
35,Obwód i pole,7,Pole trójkąta = ?,a · h,(a · h) / 2,a + h,B,(a · h) / 2
35,Obwód i pole,8,Pole równoległoboku = ?,a · h,2a + 2h,a + h,A,a · h
35,Obwód i pole,9,Jednostka pola często…,kg,cm / m,cm² / m²,C,cm² / m²
35,Obwód i pole,10,Obwód mierzymy…,masą,długością „ramki”,temperaturą,B,długością „ramki”
36,Bryły,1,Bryła to figura…,tylko płaska,przestrzenna (3D),tylko punkt,B,przestrzenna (3D)
36,Bryły,2,Sześcian ma ile ścian?,6,8,4,A,6
36,Bryły,3,Prostopadłościan — ściany to…,tylko trójkąty zawsze,tylko koła,prostokąty,C,prostokąty
36,Bryły,4,Ostrosłup ma…,tylko 2 punkty,podstawę i wierzchołek,tylko jedną krawędź,B,podstawę i wierzchołek
36,Bryły,5,V sześcianu o krawędzi a = ?,a³,4a,a²,A,a³
36,Bryły,6,Ile krawędzi ma sześcian?,8,6,12,C,12
36,Bryły,7,Pudełko butów przypomina…,koło,prostopadłościan,odcinek,B,prostopadłościan
36,Bryły,8,Walec / stożek / kula to…,bryły,tylko ułamki,tylko kąty,A,bryły
36,Bryły,9,Sześcian ma wszystkie krawędzie…,zerowe,różne,równe,C,równe
36,Bryły,10,Objętość mówi…,jak ciężka jest zawsze bez wagi,ile miejsca zajmuje bryła,jaki ma kolor,B,ile miejsca zajmuje bryła
37,Symetria,1,Symetria lustrzana — figura ma…,tylko kąt 1°,oś symetrii,tylko ułamek,B,oś symetrii
37,Symetria,2,Oś symetrii dzieli figurę na…,2 części lustrzane,0 części,3 równe koła,A,2 części lustrzane
37,Symetria,3,Środek symetrii — obrót o…,45°,90°,180°,C,180°
37,Symetria,4,Kwadrat ma ile osi symetrii?,1,4,0,B,4
37,Symetria,5,Koło ma ile osi symetrii?,nieskończenie wiele,2,1,A,nieskończenie wiele
37,Symetria,6,Motyl / liść — przykład…,pierwiastka,procentu,symetrii,C,symetrii
37,Symetria,7,Punkt i jego obraz są…,w różnej temperaturze,w tej samej odległości od osi,zawsze w 0,B,w tej samej odległości od osi
37,Symetria,8,Litera O często ma…,oś / środki symetrii,tylko masę,tylko ułamek,A,oś / środki symetrii
37,Symetria,9,Symetria pomaga…,mierzyć °C,ważyć,rysować drugą połowę,C,rysować drugą połowę
37,Symetria,10,Oś to…,jednostka masy,linia „lustra”,procent,B,linia „lustra”
38,Współrzędne,1,Układ współrzędnych ma osie…,tylko Z,X i Y,tylko kąt,B,X i Y
38,Współrzędne,2,Oś X jest…,pozioma,ukośna zawsze,pionowa,A,pozioma
38,Współrzędne,3,Oś Y jest…,okrągła,pozioma,pionowa,C,pionowa
38,Współrzędne,4,Punkt zapisujemy jako…,x + y tylko,"(x, y)",tylko x,B,"(x, y)"
38,Współrzędne,5,Początek układu to…,"(0, 0)","(x, y) zawsze","(1, 1)",A,"(0, 0)"
38,Współrzędne,6,"I ćwiartka: znaki x, y?",+ −,− −,+ +,C,+ +
38,Współrzędne,7,II ćwiartka: znaki?,+ +,− +,− −,B,− +
38,Współrzędne,8,"Punkt (3, 0) leży na…",osi X,nigdzie,osi Y,A,osi X
38,Współrzędne,9,"Punkt (0, 5) leży na…",poza układem zawsze,osi X,osi Y,C,osi Y
38,Współrzędne,10,"W (2, −3) druga liczba to…",x,y,z,B,y
39,Statystyka (1),1,Statystyka zajmuje się…,tylko rysowaniem kątów,zbieraniem i opisem danych,tylko masą,B,zbieraniem i opisem danych
39,Statystyka (1),2,Dane to…,informacje liczbowe / wyniki,tylko kolory bez liczb,tylko litery rzymskie,A,informacje liczbowe / wyniki
39,Statystyka (1),3,Tabela porządkuje dane w…,tylko jednym punkcie,tylko okręgu,wierszach i kolumnach,C,wierszach i kolumnach
39,Statystyka (1),4,Wykres słupkowy pokazuje…,tylko temperaturę ciała,porównanie wartości słupkami,tylko kąt 90°,B,porównanie wartości słupkami
39,Statystyka (1),5,Wykres kołowy pokazuje…,części całości,tylko masę w t,tylko długość w km,A,części całości
39,Statystyka (1),6,Po co wykres?,żeby mierzyć °C,żeby ważyć,żeby łatwiej zobaczyć różnice,C,żeby łatwiej zobaczyć różnice
39,Statystyka (1),7,Przykład danych ze szkoły?,tylko π,"oceny, frekwencja",tylko średnica,B,"oceny, frekwencja"
39,Statystyka (1),8,Etapy: zbierz → uporządkuj → …,wnioski,podziel przez 0,usuń wszystkie dane,A,wnioski
39,Statystyka (1),9,Słupki porównują…,tylko kolory bez skali,tylko litery,wielkości,C,wielkości
39,Statystyka (1),10,Koło 100% to…,zero,całość,połowa zawsze,B,całość
40,Statystyka (2),1,Średnia arytmetyczna = ?,największa wartość,(suma) / (liczba danych),najmniejsza wartość,B,(suma) / (liczba danych)
40,Statystyka (2),2,Mediana to…,środkowa wartość po uporządkowaniu,iloczyn,suma wszystkich,A,środkowa wartość po uporządkowaniu
40,Statystyka (2),3,Moda to…,zawsze średnia × 2,zawsze 0,wartość najczęstsza,C,wartość najczęstsza
40,Statystyka (2),4,"Średnia z 2, 4, 6 = ?",6,4,12,B,4
40,Statystyka (2),5,"Mediana z 1, 3, 8 = ?",3,8,1,A,3
40,Statystyka (2),6,"Moda w 2, 2, 5, 7 = ?",7,5,2,C,2
40,Statystyka (2),7,Przy parzystej liczbie danych mediana to…,zawsze 0,średnia dwóch środkowych,zawsze pierwsza,B,średnia dwóch środkowych
40,Statystyka (2),8,Która miara „psuje się” przez jedną bardzo dużą liczbę?,średnia,tylko nazwa osi,tylko moda zawsze,A,średnia
40,Statystyka (2),9,Uporządkuj przed…,rysowaniem koła tylko,dodawaniem 0 tylko,medianą,C,medianą
40,Statystyka (2),10,Średnia z 10 i 20 = ?,30,15,10,B,15
41,Kombinatoryka i prawdopodobieństwo,1,Zasada mnożenia: etapy niezależne — …,zawsze dodajemy 0,mnożymy liczby sposobów,dzielimy przez zero,B,mnożymy liczby sposobów
41,Kombinatoryka i prawdopodobieństwo,2,Zasada dodawania: albo… albo… — …,dodajemy,odejmujemy π,mnożymy zawsze,A,dodajemy
41,Kombinatoryka i prawdopodobieństwo,3,n! = ?,n / 2,n + 1,n·(n−1)·…·1,C,n·(n−1)·…·1
41,Kombinatoryka i prawdopodobieństwo,4,P = ?,wszystkie / korzystne,korzystne / wszystkie,korzystne · wszystkie,B,korzystne / wszystkie
41,Kombinatoryka i prawdopodobieństwo,5,0 ≤ P ≤ ?,1,10,100,A,1
41,Kombinatoryka i prawdopodobieństwo,6,Kostka: P(6) = ?,1/2,6,1/6,C,1/6
41,Kombinatoryka i prawdopodobieństwo,7,P = 0 oznacza…,zdarzenie pewne,zdarzenie niemożliwe,zawsze połowę,B,zdarzenie niemożliwe
41,Kombinatoryka i prawdopodobieństwo,8,P = 1 oznacza…,zdarzenie pewne,50%,zdarzenie niemożliwe,A,zdarzenie pewne
41,Kombinatoryka i prawdopodobieństwo,9,3 drogi i 4 autobusy: ile połączeń?,3,7,12,C,12
41,Kombinatoryka i prawdopodobieństwo,10,Prawdopodobieństwo to…,długość,szansa zdarzenia,masa,B,szansa zdarzenia
42,Ściąga znaków,1,Znak + oznacza…,odejmowanie,dodawanie,mnożenie,B,dodawanie
42,Ściąga znaków,2,Znak − oznacza…,odejmowanie,procent,dodawanie,A,odejmowanie
42,Ściąga znaków,3,Znak × lub · oznacza…,kąt,dzielenie,mnożenie,C,mnożenie
42,Ściąga znaków,4,Znak : lub / oznacza…,dodawanie,dzielenie,stopień,B,dzielenie
42,Ściąga znaków,5,Znak = oznacza…,równość,mniejsze,większe,A,równość
42,Ściąga znaków,6,Znak < oznacza…,równe,większe niż,mniejsze niż,C,mniejsze niż
42,Ściąga znaków,7,Znak √ oznacza…,procent,pierwiastek,kąt,B,pierwiastek
42,Ściąga znaków,8,Znak % oznacza…,procent,pole,promień,A,procent
42,Ściąga znaków,9,Znak ∠ oznacza…,masę,procent,kąt,C,kąt
42,Ściąga znaków,10,Znak ∥ oznacza…,prostopadłość,równoległość,procent,B,równoległość
43,Działania pisemne i szacowanie,1,Działanie pisemne to rachunek…,tylko ustny bez zapisu,w słupku,tylko na mapie,B,w słupku
43,Działania pisemne i szacowanie,2,Przy dodawaniu pisemnym zaczynamy od…,jedności (z prawej),lewej litery,setek zawsze najpierw,A,jedności (z prawej)
43,Działania pisemne i szacowanie,3,Przy odejmowaniu pisemnym uważaj na…,kąt 90°,π,pożyczkę / przeniesienie,C,pożyczkę / przeniesienie
43,Działania pisemne i szacowanie,4,Szacowanie to…,dokładny wynik tylko,przybliżony wynik przed dokładnym,usunięcie danych,B,przybliżony wynik przed dokładnym
43,Działania pisemne i szacowanie,5,Po co szacować?,"żeby sprawdzić, czy wynik ma sens",żeby narysować koło,żeby zmienić jednostki na °C,A,"żeby sprawdzić, czy wynik ma sens"
43,Działania pisemne i szacowanie,6,47 + 32 ≈ ?,ok. 1000,ok. 10,ok. 80,C,ok. 80
43,Działania pisemne i szacowanie,7,Mnożenie pisemne: mnożysz przez…,tylko zero,kolejne cyfry mnożnika,tylko π,B,kolejne cyfry mnożnika
43,Działania pisemne i szacowanie,8,Dzielenie pisemne to…,dzielenie „w słupku”,tylko kąt,tylko dodawanie,A,dzielenie „w słupku”
43,Działania pisemne i szacowanie,9,"Najpierw oszacuj, potem…",podziel przez 0,usuń wynik,licz dokładnie,C,licz dokładnie
43,Działania pisemne i szacowanie,10,Słupek pomaga przy…,tylko kolorach,większych liczbach,tylko dźwiękach,B,większych liczbach
44,Rozdzielność mnożenia,1,Rozdzielność: a·(b+c) = ?,a + b + c,a·b + a·c,a·b·c,B,a·b + a·c
44,Rozdzielność mnożenia,2,3·(10+2) = ?,36,32,15,A,36
44,Rozdzielność mnożenia,3,4x + 4y = ?,4x4y,8xy,4(x+y),C,4(x+y)
44,Rozdzielność mnożenia,4,Po co rozdzielność?,żeby dzielić przez 0,łatwiej liczyć / pola jako suma,żeby mierzyć °C,B,łatwiej liczyć / pola jako suma
44,Rozdzielność mnożenia,5,2(a+3) = ?,2a+6,a+6,2a+3,A,2a+6
44,Rozdzielność mnożenia,6,Czy (a+b)·c = a·c + b·c?,tylko gdy c = 0,nie,tak,C,tak
44,Rozdzielność mnożenia,7,Odwrotnie do rozdzielności to…,dodawanie kątów,wyłączanie wspólnego czynnika,zaokrąglanie daty,B,wyłączanie wspólnego czynnika
44,Rozdzielność mnożenia,8,5·7 + 5·3 = 5·(?),10,2,21,A,10
44,Rozdzielność mnożenia,9,3·(5+1) = ?,15,8,18,C,18
44,Rozdzielność mnożenia,10,Rozdzielność łączy…,tylko kąty,mnożenie z dodawaniem,tylko daty,B,mnożenie z dodawaniem
45,"NWD, NWW i rozkład na czynniki",1,Czynnik pierwszy to…,zawsze 1 tylko,liczba pierwsza w rozkładzie,zawsze 100,B,liczba pierwsza w rozkładzie
45,"NWD, NWW i rozkład na czynniki",2,12 = ?,2·2·3,3·5,2·5,A,2·2·3
45,"NWD, NWW i rozkład na czynniki",3,NWD to…,średnia,najmniejsza wspólna wielokrotność,największy wspólny dzielnik,C,największy wspólny dzielnik
45,"NWD, NWW i rozkład na czynniki",4,NWW to…,największy wspólny dzielnik,najmniejsza wspólna wielokrotność,mediana,B,najmniejsza wspólna wielokrotność
45,"NWD, NWW i rozkład na czynniki",5,"NWD(12,18) = ?",6,3,36,A,6
45,"NWD, NWW i rozkład na czynniki",6,"NWW(4,6) = ?",24,2,12,C,12
45,"NWD, NWW i rozkład na czynniki",7,Liczba złożona ma…,dokładnie 2 dzielniki,więcej niż 2 dzielniki,0 dzielników,B,więcej niż 2 dzielniki
45,"NWD, NWW i rozkład na czynniki",8,NWD pomaga przy…,skracaniu ułamków,rysowaniu tylko koła,mierzeniu °C,A,skracaniu ułamków
45,"NWD, NWW i rozkład na czynniki",9,Rozkład na czynniki pierwsze: 8 = ?,5·2,3·3,2·2·2,C,2·2·2
45,"NWD, NWW i rozkład na czynniki",10,Liczba pierwsza przykład:,8,7,9,B,7
46,Ułamek liczby i całość z części,1,1/4 z 20 = ?,4,5,80,B,5
46,Ułamek liczby i całość z części,2,Jak policzyć część z całości?,całość × ułamek,całość − 100,całość + ułamek,A,całość × ułamek
46,Ułamek liczby i całość z części,3,"Jeśli 1/3 to 4, całość = ?",7,3,12,C,12
46,Ułamek liczby i całość z części,4,Powiększenie o 1/4: mnożymy przez…,1/4,5/4,4/5,B,5/4
46,Ułamek liczby i całość z części,5,Pomniejszenie o 1/5: mnożymy przez…,4/5,1/5,5/4,A,4/5
46,Ułamek liczby i całość z części,6,50% z liczby = …,liczba + 50,2 × liczby,1/2 z liczby,C,1/2 z liczby
46,Ułamek liczby i całość z części,7,3/4 z 80 = ?,20,60,80,B,60
46,Ułamek liczby i całość z części,8,"Jeśli 20% to 10, całość = ?",50,200,20,A,50
46,Ułamek liczby i całość z części,9,Ułamek liczby to…,zawsze masa,zawsze kąt,część z całości,C,część z całości
46,Ułamek liczby i całość z części,10,1/2 z 50 = ?,100,25,2,B,25
47,Wyrażenia dwumianowane,1,Przykład wyrażenia dwumianowanego:,tylko 3,3 m 25 cm,tylko x²,B,3 m 25 cm
47,Wyrażenia dwumianowane,2,3 m 25 cm = ? cm,325,"3,25",3250,A,325
47,Wyrażenia dwumianowane,3,2 h 30 min = ? min,90,230,150,C,150
47,Wyrażenia dwumianowane,4,250 cm = ?,25 m,"2 m 50 cm / 2,5 m","0,25 m tylko bez cm",B,"2 m 50 cm / 2,5 m"
47,Wyrażenia dwumianowane,5,3 m 50 cm = ?,"3,5 m","0,35 m",350 m,A,"3,5 m"
47,Wyrażenia dwumianowane,6,1 kg 200 g = ? g,"1,2",200,1200,C,1200
47,Wyrażenia dwumianowane,7,Po co dwumianowane?,żeby liczyć kąty π,wygodny zapis miar mieszanych,żeby dzielić przez 0,B,wygodny zapis miar mieszanych
47,Wyrażenia dwumianowane,8,Gdzie w życiu?,"wzrost, czas, waga",tylko moda,tylko litery rzymskie,A,"wzrost, czas, waga"
47,Wyrażenia dwumianowane,9,1 h 15 min = ? min,60,115,75,C,75
47,Wyrażenia dwumianowane,10,2 zł 30 gr = ?,230 zł,"2,30 zł","0,23 zł",B,"2,30 zł"
48,Proste prostopadłe i odległość,1,Proste prostopadłe tworzą kąt…,0°,prosty (90°),180° zawsze bez wyjątku jako definicja równoległych,B,prosty (90°)
48,Proste prostopadłe i odległość,2,Znak prostopadłości:,⊥,%,∥,A,⊥
48,Proste prostopadłe i odległość,3,Odległość punktu od prostej to…,suma kątów,najdłuższy łuk,najkrótszy odcinek (prostopadły),C,najkrótszy odcinek (prostopadły)
48,Proste prostopadłe i odległość,4,Wysokość w figurze pada…,równolegle zawsze,prostopadle na podstawę,pod kątem 1°,B,prostopadle na podstawę
48,Proste prostopadłe i odległość,5,Ściana i podłoga często są…,prostopadłe,tożsame,równoległe jak tory zawsze,A,prostopadłe
48,Proste prostopadłe i odległość,6,Odcinki ⊥ tworzą…,360°,0°,90°,C,90°
48,Proste prostopadłe i odległość,7,Wysokość trójkąta rozwartego…,zawsze w środku koła,może być na zewnątrz,nigdy nie istnieje,B,może być na zewnątrz
48,Proste prostopadłe i odległość,8,⊥ oznacza…,prostopadłość,procent,równoległość,A,prostopadłość
48,Proste prostopadłe i odległość,9,Najkrótsza droga do prostej jest…,okrężna zawsze,równoległa,prostopadła,C,prostopadła
48,Proste prostopadłe i odległość,10,Kąt między ⊥ to…,45°,90°,180°,B,90°
49,Suma kątów w trójkącie,1,Suma kątów w trójkącie = ?,90°,180°,360°,B,180°
49,Suma kątów w trójkącie,2,Kąty 50° i 60° — trzeci = ?,70°,90°,110°,A,70°
49,Suma kątów w trójkącie,3,W trójkącie prostokątnym jeden kąt = ?,0°,180°,90°,C,90°
49,Suma kątów w trójkącie,4,Trójkąt równoramienny ma…,0 równych boków,2 równe boki,5 boków,B,2 równe boki
49,Suma kątów w trójkącie,5,Nierówność trójkąta: suma dwóch boków…,większa od trzeciego,równa zero,mniejsza od trzeciego,A,większa od trzeciego
49,Suma kątów w trójkącie,6,"Czy istnieje trójkąt 2, 3, 6?",tylko na sferze w SP,tak,nie,C,nie
49,Suma kątów w trójkącie,7,"Jeśli dwa kąty po 45°, trzeci = ?",45°,90°,180°,B,90°
49,Suma kątów w trójkącie,8,Po co twierdzenie o sumie kątów?,obliczyć brakujący kąt,policzyć % bez danych,zważyć bryłę,A,obliczyć brakujący kąt
49,Suma kątów w trójkącie,9,Trójkąt ostrokątny ma wszystkie kąty…,rozwarta jeden zawsze,proste,ostre,C,ostre
49,Suma kątów w trójkącie,10,120° + 30° + ? = 180° → ?,60°,30°,90°,B,30°
50,"Pole rombu i trapezu; ar, ha",1,Pole rombu (przekątne) = ?,d₁ + d₂,(d₁ · d₂) / 2,2(d₁ + d₂),B,(d₁ · d₂) / 2
50,"Pole rombu i trapezu; ar, ha",2,Pole trapezu = ?,((a+b)/2) · h,a + b + h,a · b · h,A,((a+b)/2) · h
50,"Pole rombu i trapezu; ar, ha",3,1 ar = ? m²,10,1000,100,C,100
50,"Pole rombu i trapezu; ar, ha",4,1 ha = ? m²,100,10 000,1000,B,10 000
50,"Pole rombu i trapezu; ar, ha",5,1 ha = ? ar,100,1000,10,A,100
50,"Pole rombu i trapezu; ar, ha",6,100 m² = ? ar,100,10,1,C,1
50,"Pole rombu i trapezu; ar, ha",7,Wysokość w trapezie jest między…,przekątnymi tylko,podstawami (⊥),kątami tylko,B,podstawami (⊥)
50,"Pole rombu i trapezu; ar, ha",8,Romb: wszystkie boki…,równe,zerowe,różne,A,równe
50,"Pole rombu i trapezu; ar, ha",9,Ar i ha to jednostki…,czasu,masy,pola,C,pola
50,"Pole rombu i trapezu; ar, ha",10,Pole to…,obwód,powierzchnia,objętość zawsze to samo,B,powierzchnia
51,"Graniastosłup, siatki, pole powierzchni",1,Graniastosłup ma dwie…,tylko jedną krawędź,"podstawy (równoległe, przystające)",tylko kąt 1°,B,"podstawy (równoległe, przystające)"
51,"Graniastosłup, siatki, pole powierzchni",2,Graniastosłup prosty — krawędzie boczne…,⊥ do podstaw,zerowe,∥ do podstaw zawsze jako definicja siecznej,A,⊥ do podstaw
51,"Graniastosłup, siatki, pole powierzchni",3,Siatka bryły to…,ułamek,wykres słupkowy,rozkład ścian na płaszczyźnie,C,rozkład ścian na płaszczyźnie
51,"Graniastosłup, siatki, pole powierzchni",4,Pole powierzchni = ?,tylko jedna ściana,suma pól wszystkich ścian,tylko objętość,B,suma pól wszystkich ścian
51,"Graniastosłup, siatki, pole powierzchni",5,V graniastosłupa = ?,pole podstawy · wysokość,suma kątów,obwód · 2,A,pole podstawy · wysokość
51,"Graniastosłup, siatki, pole powierzchni",6,Ostrosłup ma…,0 ścian,dwie podstawy jak graniastosłup,jedną podstawę i wierzchołek,C,jedną podstawę i wierzchołek
51,"Graniastosłup, siatki, pole powierzchni",7,Sześcian to szczególny…,trójkąt,graniastosłup / prostopadłościan,kąt,B,graniastosłup / prostopadłościan
51,"Graniastosłup, siatki, pole powierzchni",8,Po co siatka?,model / pole powierzchni,BLIK,mierzenie °C,A,model / pole powierzchni
51,"Graniastosłup, siatki, pole powierzchni",9,Objętość mówi o…,tylko dacie,tylko kolorze,miejscu w środku,C,miejscu w środku
51,"Graniastosłup, siatki, pole powierzchni",10,Ściany boczne graniastosłupa prostego to…,koła,prostokąty,punkty,B,prostokąty
52,Obliczenia procentowe — wszystkie typy,1,p% z liczby = ?,liczba + p,liczba × p/100,liczba − p,B,liczba × p/100
52,Obliczenia procentowe — wszystkie typy,2,Jaki procent? P = ?,(część/całość)×100%,całość − część tylko bez %,część + całość,A,(część/całość)×100%
52,Obliczenia procentowe — wszystkie typy,3,"Liczba, gdy znamy p%: całość = ?",część + 100,część × p,część ÷ (p/100),C,część ÷ (p/100)
52,Obliczenia procentowe — wszystkie typy,4,Zwiększenie o p%: × …,(1 − p/100),(1 + p/100),p,B,(1 + p/100)
